team_name,player_name,14-10-24,15-10-24,16-10-24,17-10-24,18-10-24,19-10-24,20-10-24,22-10-24,23-10-24,Lanzamientos Totales
CUL,CD Pelham,0.0,0.0,10.0,0.0,4.0,8.0,0.0,5.0,15.0,42.0
GSV,Rafael Cordova,0.0,2.0,14.0,0.0,0.0,19.0,0.0,7.0,0.0,42.0
NAV,Jose Carlos Medina,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,0.0,41.0
MAZ,Hector Villalobos,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,19.0,40.0
MOC,Jose Luna,0.0,7.0,0.0,18.0,0.0,9.0,0.0,0.0,6.0,40.0
MXC,Angel Lopez,0.0,4.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,40.0
CUL,David Gutierrez,0.0,0.0,3.0,0.0,19.0,0.0,0.0,6.0,11.0,39.0
CUL,Efrain Contreras,0.0,0.0,0.0,9.0,0.0,15.0,0.0,14.0,0.0,38.0
CUL,Ruben Reyes,0.0,21.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,38.0
GSV,Dan Kubiuk,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,38.0
MOC,Jonas Garibay,0.0,0.0,0.0,21.0,0.0,0.0,16.0,0.0,0.0,37.0
JAL,Dario Gardea,0.0,0.0,10.0,12.0,0.0,15.0,0.0,0.0,0.0,37.0
GSV,Jesus Broca,0.0,3.0,0.0,24.0,0.0,0.0,0.0,10.0,0.0,37.0
NAV,Denny Roman,0.0,0.0,20.0,0.0,0.0,0.0,7.0,8.0,2.0,37.0
MXC,Mario Jimenez,0.0,7.0,0.0,0.0,0.0,0.0,18.0,0.0,9.0,34.0
NAV,Damian Mendoza,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0
JAL,Adrian Gusman,0.0,0.0,0.0,25.0,0.0,8.0,0.0,0.0,0.0,33.0
OBR,Samuel Zazueta,0.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,13.0,33.0
MAZ,Andres Ivan Meza,0.0,0.0,0.0,13.0,0.0,15.0,5.0,0.0,0.0,33.0
MAZ,Erick Casillas,0.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,16.0,32.0
JAL,Antonio Garzon,0.0,3.0,0.0,0.0,0.0,9.0,10.0,9.0,0.0,31.0
MAZ,Alejandro Soto,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,30.0
HER,Augusto Mendieta,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
MOC,Frank Moscatiello,0.0,0.0,0.0,14.0,0.0,0.0,15.0,0.0,0.0,29.0
MAZ,Amilcar Gaxiola,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,29.0
GSV,Oscar Rojas,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0
NAV,Jonathan Partida,0.0,0.0,0.0,0.0,0.0,11.0,6.0,6.0,5.0,28.0
HER,Javier Rodriguez,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
NAV,Edwyn Valle,0.0,0.0,9.0,0.0,0.0,7.0,0.0,12.0,0.0,28.0
MOC,Vicente Valenzuela,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0
GSV,Jeff Ibarra,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,27.0
HER,Saul Arias,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
MOC,Adrian Hernandez,0.0,0.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,27.0
MAZ,Victor Morales,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.0,0.0,27.0
HER,Ozzie Mendez,0.0,0.0,0.0,21.0,0.0,0.0,2.0,3.0,0.0,26.0
