team_name,player_name,16-10-24,17-10-24,18-10-24,19-10-24,20-10-24,22-10-24,23-10-24,24-10-24,Lanzamientos Totales
JAL,Edgar Manzo,23P 13S 10B<br>1ER 1H,2P 1S 1B<br>1ER 1H,0,0,0,0,0,0,25
MTY,Ricardo Chapa,0,0,0,0,0,0,0,25P 12S 13B<br>0ER 0H,25
MAZ,Jovany Lopez,0,12P 6S 6B<br>1ER 0H,0,0,0,13P 8S 5B<br>2ER 3H,0,0,25
JAL,Alejandro Morales,0,0,0,0,0,24P 15S 9B<br>0ER 1H,0,0,24
HER,Raul Barron,0,11P 7S 4B<br>0ER 1H,0,9P 7S 2B<br>0ER 0H,0,4P 3S 1B<br>0ER 0H,0,0,24
GSV,Dan Kubiuk,0,0,0,8P 7S 1B<br>0ER 0H,0,0,16P 9S 7B<br>1ER 2H,0,24
MTY,Nathanael Santiago,0,0,0,15P 7S 8B<br>0ER 1H,0,8P 3S 5B<br>0ER 0H,0,0,23
MXC,Patricio Ress,0,0,0,0,9P 6S 3B<br>0ER 1H,0,13P 8S 5B<br>1ER 2H,0,22
MTY,Carlos De Leon,0,0,0,0,0,0,21P 16S 5B<br>2ER 3H,0,21
MAZ,Ernesto Borges,0,0,0,0,0,0,0,20P 10S 10B<br>0ER 1H,20
GSV,Ian Medina,2P 2S 0B<br>0ER 0H,0,0,0,0,0,0,18P 9S 9B<br>0ER 0H,20
OBR,Ernesto Zaragoza,0,11P 7S 4B<br>0ER 0H,0,0,0,0,8P 6S 2B<br>0ER 2H,0,19
MOC,Fredy Quintero,0,0,0,0,0,0,0,18P 11S 7B<br>4ER 3H,18
MAZ,Alex Speas,18P 8S 10B<br>3ER 1H,0,0,0,0,0,0P 0S 0B<br>0ER 2H,0,18
CUL,Ruben Reyes,0,17P 12S 5B<br>0ER 2H,0,0,0,0,0,0,17
MAZ,Alexandro Tovalin,0,0,0,0,0,7P 5S 2B<br>0ER 1H,10P 5S 5B<br>2ER 0H,0,17
MXC,Daniel Cruz,0,0,0,0,0,0,16P 10S 6B<br>1ER 1H,0,16
CUL,Jose Bravo,0,0,0,0,0,16P 10S 6B<br>1ER 2H,0,0,16
OBR,Saul Vazquez,0,0,0,0,0,0,0,15P 13S 2B<br>0ER 1H,15
MTY,Cristian Castillo,15P 9S 6B<br>2ER 1H,0,0,0,0,0,0,0,15
CUL,Luis Aguayo,0,0,0,0,14P 11S 3B<br>0ER 1H,0,0,0,14
OBR,Ruben Salinas,0,0,11P 5S 6B<br>0ER 0H,0,2P 1S 1B<br>0ER 0H,0,1P 1S 0B<br>0ER 0H,0,14
HER,Anibal Cervantes,13P 9S 4B<br>5ER 5H,0,0,0,0,0,0,0,13
GSV,Jeff Ibarra,0,0,0,0,0,10P 5S 5B<br>0ER 1H,3P 2S 1B<br>0ER 2H,0,13
HER,Orlando Gonzalez,0,0,0,0,0,10P 5S 5B<br>1ER 2H,0,0,10
GSV,Peyton Gray,0,0,0,10P 3S 7B<br>0ER 0H,0,0,0,0,10
MTY,Ivan Salas,0,0,0,0,0,1P 1S 0B<br>0ER 0H,8P 6S 2B<br>0ER 2H,0,9
GSV,Edwin Cervantes,0,0,0,0,0,0,4P 2S 2B<br>0ER 0H,0,4
GSV,Kevin Ribon,0,0,0,0,0,0,3P 2S 1B<br>0ER 0H,0,3
